left_pupil,right_pupil,time
"(629, 316)","(754, 332)",0 days 00:00:00.010000
"(651, 308)","(786, 312)",0 days 00:00:00.020000
"(647, 307)","(783, 317)",0 days 00:00:00.030000
"(643, 295)","(778, 302)",0 days 00:00:00.040000
"(617, 301)","(753, 306)",0 days 00:00:00.050000
"(597, 335)","(726, 335)",0 days 00:00:00.060000
"(531, 336)","(631, 323)",0 days 00:00:00.080000
"(550, 345)","(678, 335)",0 days 00:00:00.090000
"(577, 333)","(713, 321)",0 days 00:00:00.100000
"(551, 335)","(682, 326)",0 days 00:00:00.110000
"(520, 328)","(648, 315)",0 days 00:00:00.120000
"(519, 336)","(644, 322)",0 days 00:00:00.130000
"(553, 308)","(679, 291)",0 days 00:00:00.140000
"(585, 308)","(711, 307)",0 days 00:00:00.160000
